real_name,total_pumping_cfs,streamflow_cfs,depletion_cfs,scenario,source_file
gen=49_member=6255_pso,113.2774462949155,5.21472381847019,3.38527618152981,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=19_member=2332_pso,114.68638911952,4.534083964458168,4.065916035541831,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5338_pso,112.11403948109024,5.69760125050297,2.902398749497029,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5686_pso,112.66509068748996,5.546756471539784,3.053243528460216,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=28_member=3537_pso,112.81290156797604,5.338838011819648,3.261161988180352,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=32_member=4089_pso,110.75325112950983,5.9553121071534605,2.644687892846539,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3950_pso,112.14805646236113,5.678497055047667,2.9215029449523326,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6049_pso,111.92095881325947,5.67791948734748,2.92208051265252,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=22_member=2692_pso,114.6890704170656,4.533927065208091,4.066072934791909,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=23_member=2927_pso,114.69179943174592,4.533626276966432,4.066373723033568,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=26_member=3303_pso,114.69327390503942,4.533305693893071,4.066694306106928,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=27_member=3355_pso,114.10758241677932,4.830947922747125,3.769052077252875,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6396_pso,114.6950223519099,4.533271051142216,4.066728948857784,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6360_pso,97.24786345334697,7.076532542018938,1.5234674579810612,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6324_pso,113.8693221053299,4.917314324333287,3.6826856756667135,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6329_pso,101.31127815810402,6.862342648872764,1.737657351127235,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6322_pso,109.8600117070958,6.174034511806781,2.4259654881932184,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6340_pso,104.39926251278963,6.635047833645888,1.964952166354112,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6299_pso,105.65177189780236,6.574918185986075,2.025081814013925,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6383_pso,114.47093715974896,4.637495811916583,3.962504188083416,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6379_pso,112.6659742823999,5.546747928411577,3.0532520715884224,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6378_pso,113.79617201019582,4.954898696040331,3.645101303959668,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6308_pso,104.15951527867624,6.694575801922257,1.9054241980777424,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6384_pso,112.15193566727308,5.650581462429155,2.949418537570845,original_T_minus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tmin10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5984_pso,91.0440392003432,7.095154435695316,1.5048455643046832,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
56,117.27606605647958,3.5678921209965235,5.032107879003476,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
64,116.39468811431688,3.9183694006064167,4.681630599393583,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
30,116.2736427715908,3.68090753701581,4.91909246298419,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6261_pso,114.6950223519099,4.095661229104106,4.5043387708958935,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
18,116.27445846987214,3.806319697684287,4.793680302315713,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
105,116.58536880521854,3.778927388994454,4.821072611005546,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
35,117.41614755261728,3.5693382218297884,5.030661778170211,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5805_pso,92.0703923081081,7.073738851691353,1.5262611483086472,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5269_pso,97.0289890009635,6.860770113332215,1.7392298866677842,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5844_pso,111.39202854873156,5.355926157270806,3.244073842729193,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4892_pso,98.17066262935548,6.797186481187827,1.8028135188121728,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5790_pso,110.9588735567399,5.454380345184737,3.1456196548152624,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5197_pso,98.6819057831936,6.779083172226004,1.820916827773996,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6167_pso,97.84872722869946,6.829717960640562,1.7702820393594372,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4417_pso,105.88219045461364,6.27920105111442,2.32079894888558,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5525_pso,110.4689343116699,5.700279817312089,2.8997201826879104,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6152_pso,110.80251283260112,5.611652915909711,2.9883470840902886,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=23_member=2877_pso,113.18779223773286,4.3951342920847045,4.204865707915295,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6068_pso,109.3689294787116,5.924379541942392,2.675620458057608,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4674_pso,101.22304814490153,6.650424334375984,1.9495756656240155,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4503_pso,106.47487158572716,6.215622375553265,2.3843776244467354,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4147_pso,94.92013380513636,6.967381281516486,1.632618718483514,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4166_pso,91.05080686412036,7.093387753370851,1.5066122466291487,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4632_pso,103.65064826618364,6.494020425147769,2.1059795748522303,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4658_pso,92.52819504778424,7.065261374831841,1.5347386251681587,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4624_pso,91.43559152034808,7.085276864188842,1.514723135811158,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5995_pso,93.96129623920127,7.013300944800997,1.5866990551990028,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=23_member=2902_pso,109.90805815960844,5.767735988558679,2.832264011441321,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5865_pso,108.212525460132,6.05720438174939,2.54279561825061,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4303_pso,113.23033011646214,4.703781228375275,3.8962187716247247,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6089_pso,114.06420636952278,4.447489252776058,4.152510747223942,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=18_member=2189_pso,113.26629802224028,4.356433946011595,4.243566053988404,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5713_pso,113.8693221053299,4.506375053372792,4.093624946627208,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=29_member=3637_pso,98.18523795763105,6.802291909226415,1.7977080907735838,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5305_pso,106.98430518785436,6.195920404284575,2.404079595715425,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5955_pso,109.86376858051946,5.865697109565428,2.7343028904345714,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5371_pso,93.36451027644632,7.046985192084547,1.5530148079154524,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4954_pso,106.46015184449467,6.254381349923705,2.3456186500762954,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5546_pso,95.42871505889462,6.950187831962061,1.6498121680379387,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5343_pso,109.3292481130196,5.962759261189255,2.637240738810745,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5259_pso,108.0846549517532,6.08934344374397,2.5106565562560297,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6197_pso,95.77322643431624,6.916254920755134,1.6837450792448656,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5917_pso,93.99083401012072,7.023578635074653,1.5764213649253462,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4823_pso,104.41380188101525,6.459572867788949,2.140427132211051,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6270_pso,114.07642076735556,4.446877869087733,4.153122130912267,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5214_pso,94.32449090724678,6.981834716022921,1.6181652839770784,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=32_member=4010_pso,92.81366680168364,7.0559599011652745,1.5440400988347251,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5948_pso,113.15840809860052,4.750889826274664,3.849110173725336,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4821_pso,110.86989606521276,5.49757542916216,3.1024245708378406,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=6006_pso,99.52926344257692,6.749421699595716,1.8505783004042835,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5300_pso,94.35517638321076,6.9913960022781785,1.6086039977218212,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4984_pso,105.98770272553764,6.30825544711182,2.291744552888179,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
90,116.67468713137949,3.796894641560562,4.803105358439438,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3866_pso,91.16902153445076,7.089647374944682,1.510352625055318,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4770_pso,93.88379352592254,6.992717690093672,1.607282309906328,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5279_pso,100.66942893110662,6.690702419445088,1.9092975805549115,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5404_pso,93.34763358723484,7.044220255802427,1.5557797441975725,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5499_pso,103.68034736035628,6.495895781690116,2.104104218309884,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6047_pso,99.91501393745312,6.715932232700651,1.8840677672993484,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=32_member=4074_pso,101.160475476745,6.676628571282231,1.923371428717768,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5362_pso,93.88835822445228,7.024860130095771,1.5751398699042292,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5515_pso,108.64928712131147,6.049734731129854,2.5502652688701457,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4956_pso,113.98840909186649,4.329892913573302,4.270107086426697,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=24_member=3006_pso,112.59860947975643,5.052307352703149,3.547692647296851,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5531_pso,109.73801858313674,5.892473592324864,2.7075264076751364,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=32_member=4084_pso,105.54423842863342,6.337893165228814,2.2621068347711857,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5732_pso,113.35836295237762,4.644082732597544,3.955917267402456,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5501_pso,109.04168247028488,5.974264870360203,2.6257351296397964,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5954_pso,113.24848621925616,4.857225193950027,3.742774806049973,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5736_pso,105.39090847910308,6.369367499861245,2.2306325001387544,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4193_pso,102.29907604792112,6.594372623696014,2.005627376303986,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5308_pso,107.72598063268748,6.109283078669711,2.4907169213302884,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4272_pso,111.76428874750276,5.114606972526211,3.4853930274737888,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4788_pso,99.92270650027456,6.715425068174278,1.8845749318257208,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=28_member=3529_pso,113.12305488411046,4.885990713872319,3.714009286127681,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4921_pso,112.74546441906357,4.966586936663938,3.6334130633360617,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6121_pso,101.79798012239314,6.6374788262765385,1.962521173723461,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5684_pso,110.77719198000187,5.539736896843771,3.0602631031562284,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5238_pso,102.12977562415908,6.572446378559742,2.0275536214402576,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5152_pso,112.6714225160894,5.0187183339968895,3.58128166600311,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4852_pso,108.59818260425502,5.99756090122745,2.6024390987725496,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6135_pso,98.68864820002858,6.76757636159857,1.8324236384014303,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5059_pso,113.75284180166132,4.573064528429377,4.026935471570623,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=26_member=3215_pso,112.1095064269793,4.811367890757446,3.7886321092425534,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4688_pso,114.08427780312788,4.27398466883887,4.32601533116113,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5947_pso,93.74750671852898,7.035611242251704,1.5643887577482956,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4153_pso,114.1516553270421,4.245191590110158,4.354808409889841,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=37_member=4682_pso,114.51340973952684,4.169613422336465,4.430386577663534,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3954_pso,113.5086257182754,4.560795205415017,4.039204794584983,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6132_pso,112.6659742823999,5.173596814428244,3.426403185571756,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5551_pso,92.99689223459836,7.05522653476005,1.54477346523995,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=26_member=3206_pso,113.71885098514971,4.527015630456047,4.072984369543953,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=29_member=3603_pso,110.2047905143617,5.755549509534845,2.8444504904651544,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=27_member=3360_pso,114.58588668195132,4.147399831014334,4.452600168985666,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5929_pso,95.68819099331692,6.911258093696057,1.6887419063039426,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5834_pso,111.8504461333536,5.081157349727503,3.518842650272497,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=6008_pso,114.48226667714924,4.12419896667627,4.475801033323729,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5781_pso,113.41518461016956,4.608093169559465,3.9919068304405343,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=25_member=3176_pso,114.05777821620384,4.290950369995778,4.309049630004222,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
